sample_no,pre_post_wet,cc_treatment,drying_treatment
3,all_dry,no_cc,all_dry
10,post,no_cc,four_wk
13,post,no_cc,four_wk
14,all_dry,w_cc,all_dry
32,no_soil,no_soil,no_soil
42,no_soil,no_soil,no_soil
44,all_dry,no_cc,all_dry
45,post,w_cc,four_wk
48,all_dry,w_cc,all_dry
49,post,w_cc,four_wk
53,post,w_cc,four_wk
55,all_dry,no_cc,all_dry
57,all_dry,no_cc,all_dry
58,all_dry,w_cc,all_dry
63,all_dry,no_cc,all_dry
68,all_dry,w_cc,all_dry
74,post,no_cc,four_wk
78,no_soil,no_soil,no_soil
93,post,no_cc,four_wk
95,post,w_cc,four_wk
97,no_soil,no_soil,no_soil
108,post,w_cc,four_wk
119,no_soil,no_soil,no_soil
126,post,no_cc,four_wk
128,all_dry,w_cc,all_dry
