"","jars_cw","jars_1wk","jars_2wk","jars_4wk"
"1",3,11,5,1
"2",4,27,7,2
"3",6,35,16,13
"4",8,36,28,14
"5",10,41,29,17
"6",18,44,40,31
"7",19,45,49,32
"8",20,55,52,43
"9",22,66,59,53
"10",23,68,64,57
"11",24,76,70,71
"12",25,78,74,81
"13",26,79,77,83
"14",30,88,80,86
"15",33,92,84,91
"16",34,93,87,94
"17",39,97,90,98
"18",46,112,95,101
"19",47,113,104,111
"20",48,114,105,115
"21",50,NA,NA,NA
"22",51,NA,NA,NA
"23",54,NA,NA,NA
"24",58,NA,NA,NA
"25",60,NA,NA,NA
"26",61,NA,NA,NA
"27",63,NA,NA,NA
"28",69,NA,NA,NA
"29",75,NA,NA,NA
"30",82,NA,NA,NA
"31",85,NA,NA,NA
"32",89,NA,NA,NA
"33",96,NA,NA,NA
"34",99,NA,NA,NA
"35",102,NA,NA,NA
"36",103,NA,NA,NA
"37",106,NA,NA,NA
"38",107,NA,NA,NA
"39",108,NA,NA,NA
"40",110,NA,NA,NA
